Ingredient code,Ingredient description_x,Ingredient weight (g)_x,Ingredient_subcode,Ingredient description_y,Ingredient weight (g)_y
31105030,"Egg, whole, fried with oil",33.333,4053,"Oil, olive, salad or cooking",25
31103010,"Egg, whole, boiled or poached",33.333,1123,"Egg, whole, raw, fresh",100
32130010,"Egg omelet or scrambled egg, made with oil",33.333,1123,"Egg, whole, raw, fresh",100
32130010,"Egg omelet or scrambled egg, made with oil",33.333,2047,"Salt, table, iodized",0.3
32130010,"Egg omelet or scrambled egg, made with oil",33.333,4044,"Oil, soybean, salad or cooking",50
32130010,"Egg omelet or scrambled egg, made with oil",33.333,4518,"Oil, corn, industrial and retail, all purpose salad or cooking",10
32130010,"Egg omelet or scrambled egg, made with oil",33.333,4582,"Oil, canola",15
32130010,"Egg omelet or scrambled egg, made with oil",33.333,4053,"Oil, olive, salad or cooking",25
52105100,Scone,90,20081,"Wheat flour, white, all-purpose, enriched, bleached",375
52105100,Scone,90,18369,"Leavening agents, baking powder, double-acting, sodium aluminum sulfate",23
52105100,Scone,90,2047,"Salt, table, iodized",3
52105100,Scone,90,1145,"Butter, without salt",170
52105100,Scone,90,19335,"Sugars, granulated",100
52105100,Scone,90,1123,"Egg, whole, raw, fresh",50
52105100,Scone,90,1077,"Milk, whole, 3.25% milkfat, with added vitamin D",35
52105100,Scone,90,1079,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",37
52105100,Scone,90,1082,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",17
52105100,Scone,90,1085,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",11
73101010,"Carrots, raw",25,11124,"Carrots, raw",100
75109000,"Celery, raw",25,11143,"Celery, raw",100
74101000,"Tomatoes, raw",25,11529,"Tomatoes, red, ripe, raw, year round average",100
72201100,"Broccoli, raw",25,11090,"Broccoli, raw",100
13110000,"Ice cream, NFS",120,19095,"Ice creams, vanilla",100
81312100,Curry sauce,40,11549,"Tomato products, canned, sauce",80
81312100,Curry sauce,40,1116,"Yogurt, plain, whole milk",7
81312100,Curry sauce,40,12117,"Nuts, coconut milk, raw (liquid expressed from grated meat and water)",7
81312100,Curry sauce,40,4044,"Oil, soybean, salad or cooking",50
81312100,Curry sauce,40,4518,"Oil, corn, industrial and retail, all purpose salad or cooking",10
81312100,Curry sauce,40,4582,"Oil, canola",15
81312100,Curry sauce,40,4053,"Oil, olive, salad or cooking",25
99997810,Vegetables as ingredient in curry,40,11674,"Potatoes, baked, flesh and skin, without salt",25
99997810,Vegetables as ingredient in curry,40,11282,"Onions, raw",25
99997810,Vegetables as ingredient in curry,40,11529,"Tomatoes, red, ripe, raw, year round average",15
99997810,Vegetables as ingredient in curry,40,11124,"Carrots, raw",10
99997810,Vegetables as ingredient in curry,40,11135,"Cauliflower, raw",10
99997810,Vegetables as ingredient in curry,40,11313,"Peas, green, frozen, cooked, boiled, drained, without salt",5
99997810,Vegetables as ingredient in curry,40,11052,"Beans, snap, green, raw",5
99997810,Vegetables as ingredient in curry,40,11333,"Peppers, sweet, green, raw",5
63135140,"Peach, canned, in syrup",50,9237,"Peaches, canned, water pack, solids and liquids",92
63135140,"Peach, canned, in syrup",50,19335,"Sugars, granulated",8
63135170,"Peach, canned, juice pack",50,9237,"Peaches, canned, water pack, solids and liquids",88
63135170,"Peach, canned, juice pack",50,9017,"Apple juice, frozen concentrate, unsweetened, undiluted, without added ascorbic acid",12
99997550,"Summer squash, cooked, as ingredient",540,11477,"Squash, summer, zucchini, includes skin, raw",50
99997550,"Summer squash, cooked, as ingredient",540,11467,"Squash, summer, crookneck and straightneck, raw",50
71401032,"Potato, french fries, from frozen, fried",100,11403,"Potatoes, french fried, all types, salt added in processing, frozen, home-prepared, oven heated",100
71401032,"Potato, french fries, from frozen, fried",100,4044,"Oil, soybean, salad or cooking",50
71401032,"Potato, french fries, from frozen, fried",100,4518,"Oil, corn, industrial and retail, all purpose salad or cooking",10
71401032,"Potato, french fries, from frozen, fried",100,4582,"Oil, canola",15
71401032,"Potato, french fries, from frozen, fried",100,4053,"Oil, olive, salad or cooking",25
92101610,"Coffee, espresso",60,14210,"Beverages, coffee, brewed, espresso, restaurant-prepared",100
81103080,"Margarine-oil blend, tub",9.583,4613,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt",65
81103080,"Margarine-oil blend, tub",9.583,4694,"Margarine-like, vegetable oil spread, 60% fat, tub, with salt, with added vitamin D",35
51301040,"Bread, wheat or cracked wheat, made from home recipe or purchased at bakery",100,14411,"Beverages, water, tap, drinking",118.5
51301040,"Bread, wheat or cracked wheat, made from home recipe or purchased at bakery",100,1077,"Milk, whole, 3.25% milkfat, with added vitamin D",35
51301040,"Bread, wheat or cracked wheat, made from home recipe or purchased at bakery",100,1079,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",37
51301040,"Bread, wheat or cracked wheat, made from home recipe or purchased at bakery",100,1082,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",17
51301040,"Bread, wheat or cracked wheat, made from home recipe or purchased at bakery",100,1085,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",11
51301040,"Bread, wheat or cracked wheat, made from home recipe or purchased at bakery",100,2047,"Salt, table, iodized",9
51301040,"Bread, wheat or cracked wheat, made from home recipe or purchased at bakery",100,19335,"Sugars, granulated",12.5
51301040,"Bread, wheat or cracked wheat, made from home recipe or purchased at bakery",100,1001,"Butter, salted",7
51301040,"Bread, wheat or cracked wheat, made from home recipe or purchased at bakery",100,4615,"Shortening, vegetable, household, composite",6.406
51301040,"Bread, wheat or cracked wheat, made from home recipe or purchased at bakery",100,18375,"Leavening agents, yeast, baker's, active dry",7
51301040,"Bread, wheat or cracked wheat, made from home recipe or purchased at bakery",100,20083,"Wheat flour, white, bread, enriched",274
51301040,"Bread, wheat or cracked wheat, made from home recipe or purchased at bakery",100,20080,"Wheat flour, whole-grain (Includes foods for USDA's Food Distribution Program)",120
81101000,"Butter, stick",100,1001,"Butter, salted",100
74402150,"Salsa, red, commercially-prepared",100,6164,"Sauce, salsa, ready-to-serve",100
99992610,"Fish fillet, fried as ingredient in sandwiches",75,15033,"Fish, haddock, raw",100
99992610,"Fish fillet, fried as ingredient in sandwiches",75,20081,"Wheat flour, white, all-purpose, enriched, bleached",125
99992610,"Fish fillet, fried as ingredient in sandwiches",75,18369,"Leavening agents, baking powder, double-acting, sodium aluminum sulfate",1
99992610,"Fish fillet, fried as ingredient in sandwiches",75,14411,"Beverages, water, tap, drinking",120
99992610,"Fish fillet, fried as ingredient in sandwiches",75,1123,"Egg, whole, raw, fresh",15
99992610,"Fish fillet, fried as ingredient in sandwiches",75,2047,"Salt, table, iodized",1
99992610,"Fish fillet, fried as ingredient in sandwiches",75,18079,"Bread, crumbs, dry, grated, plain",25
99992610,"Fish fillet, fried as ingredient in sandwiches",75,4698,"Oil, industrial, canola, high oleic",25
99992610,"Fish fillet, fried as ingredient in sandwiches",75,4701,"Oil, industrial, soy, fully hydrogenated",25
99992610,"Fish fillet, fried as ingredient in sandwiches",75,4699,"Oil, industrial, soy, low linolenic",25
99992610,"Fish fillet, fried as ingredient in sandwiches",75,4700,"Oil, industrial, soy, ultra low linolenic",25
99992610,"Fish fillet, fried as ingredient in sandwiches",75,2047,"Salt, table, iodized",0.3
99998210,Industrial oil as ingredient in food,1,4698,"Oil, industrial, canola, high oleic",25
99998210,Industrial oil as ingredient in food,1,4701,"Oil, industrial, soy, fully hydrogenated",25
99998210,Industrial oil as ingredient in food,1,4699,"Oil, industrial, soy, low linolenic",25
99998210,Industrial oil as ingredient in food,1,4700,"Oil, industrial, soy, ultra low linolenic",25
